Tipo de Servicio que se ofrece: ,Años de operación:,¿Cómo te promocionas actualmente?,¿Cómo describes la función de promoción actualmente?,¿Cómo te das a conocer actualmente?,De esos medios: Elige 3 que realmente te traen clientes.,¿Usas alguna app o plataforma para promocionar tu servicio? ¿Cómo ha sido tu experiencia?,Cuéntame un poco sobre tu negocio o servicio. ¿Qué ofreces y a qué tipo de visitantes atiendes normalmente?,¿Cómo es un día normal para ti cuando tienes visitantes o clientes?,¿Hay temporadas donde tienes muchos visitantes y otras donde casi no llegan? ¿Cómo te afecta eso?,Estacionalidad_Categoria,¿Cuál dirías que es el principal problema que enfrentas para atraer más visitantes?,"¿Qué tan fácil o difícil te resulta usar herramientas digitales para promocionarte?
",¿Has tenido alguna mala experiencia con plataformas digitales o redes sociales? ¿Qué pasó?,"Menciona ¿Cuál consideras sería la principal dificultad?
",¿Qué te haría confiar en una plataforma turística del gobierno del estado?,¿Qué tan valioso sería para ti aparecer en una app oficial que recomiende tu servicio a los visitantes?,"Si esa app existiera, ¿qué debería ofrecerte para que realmente la usaras?",¿Qué tan valioso consideras sería aparecer en una app turística oficial?,¿Qué funciones te resultarían más útiles?,En una escal del 1 al 5; donde 1 es nada y 5 totalmente. ¿Qué tanto confiaría en una plataforma que es oficial y gratuita?,"¿Qué tan dispuesto estarías a mantener tu información actualizada (por ejemplo de horarios, precios, fotos)?",¿Qué te motivaría a seguir usando la plataforma en el tiempo?,"Si pudieras pedirle algo a una plataforma turística para apoyar tu negocio, ¿qué sería?
","En una frase, ¿qué esperas de una plataforma turística del estado?"
Actividades y Experiencias,Más de 10 años,Redes sociales,Las plataformas digitales me ayudan,Redes sociales,"Redes sociales, Recomendaciones, De boca a boca",Sí,Recorridos turísticos y noche de leyendas,"Activo, ventas altas",Se vende poco,Impacto Económico / Baja Afluencia,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de tiempo,Experiencia fácil del usuario ,Valioso,Ser de fácil uso y que la use el turista para conectar con la marca,Valioso,Contacto directo con turistas,4.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),Que busque que sea atractiva para el turista,Eficiente
Actividades y Experiencias,Más de 10 años,Redes sociales,Las plataformas digitales me ayudan,Redes sociales,"Redes sociales, Recomendaciones, Plataformas",Sí,"Turismo de aventura , turistas nacionales e internacionales ",Tranquilo entresemanamovido fines de semana y días festivos,No afecta normalmente hay clientes ,Impacto Económico / Baja Afluencia,Otro Factor / No Especifica,Fácil / Accesible,Sin Malas Experiencias,Costos de publicidad,"Facilidad, heramientas que proporcionen, actualiaza y sin costo, ",Muy valioso,"El costo, el alcance y la magnitud de difusión ",Valioso,Perfil verificado,5.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),Que el resultado de promocionarme en la plataforma se refleje en mi economía ,Mayores ganancia e incremento de clientes 
Hospedaje,4–10 años,Recomendación directa,Las plataformas digitales me ayudan,Redes sociales,"Redes sociales, Recomendaciones, De boca a boca",Sí,Hospedaje de cabañas y recorridos a centros turisticos,Muy movido por tener que visitar los centros turísticos que quiera el cliente,"Bastante, pasando vacaciones baja el número de visitantes",Temporada Vacacional,Infraestructura y Acceso,Fácil / Accesible,Sin Malas Experiencias,Falta de conocimientos digitales,Saber bien como funciona la plataforma ,Valioso,Información completa del pueblo y de las actividades que hay,Valioso,Contacto directo con turistas,3.0,Dispuesto,Otros / Indeciso,Que recomienden a todos de igual manera,Igualdad
Alimentos y Bebidas,4–10 años,Recomendación directa,Las plataformas digitales me ayudan,Redes sociales,"Redes sociales, Recomendaciones, De boca a boca",No,Comida y bebida ,Abordo al cliente y le ofreces el servicio,En la economía ,Impacto Económico / Baja Afluencia,Otro Factor / No Especifica,Fácil / Accesible,Malas Reseñas / Gestión de Reputación,Falta de tiempo,Que no sea costosa y que la información Sea real ,Valioso,Que promociones todo lo que ofrecemos y que este actualizada ,Valioso,Recomendaciones a turistas,5.0,Muy dispuesto,Otros / Indeciso,Buena informacio Y accesibilidad ,Que tenga u mayor alcance turístico
Artesanías y Comercio,Más de 10 años,No me promociono,No siempre veo resultados claros,Recomendaciones,"Recomendaciones, Plataformas, De boca a boca, Redes sociales",No,Artesanias,Ajetreado,En la economia,Impacto Económico / Baja Afluencia,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,La veracidad de la información ,Muy valioso,Accesibilidad ,Muy valioso,Recomendaciones a turistas,5.0,Muy dispuesto,Otros / Indeciso,Promoción ,Información. Actualizada
Alimentos y Bebidas,4–10 años,Redes sociales,Mantener redes sociales es complicado,Redes sociales,"Redes sociales, Plataformas, De boca a boca, Recomendaciones",Sí,Comida y bebidas,Ventas normales ,Principalm3nte en la economía ,Impacto Económico / Baja Afluencia,Otro Factor / No Especifica,Fácil / Accesible,Sin Malas Experiencias,Pocos clientes,Que se mantenga actualizada y que de resultados esperados,Valioso,Que se mantenga actualizado ,Valioso,Mayor visibilidad,5.0,Dispuesto,Aprendizaje y Capacitación,Que funcione,Que llamativa y accesible 
Alimentos y Bebidas,Más de 10 años,Redes sociales,Mantener redes sociales es complicado,Redes sociales,"Redes sociales, Recomendaciones, De boca a boca",No,Comida y bebidas ,Se llegan a agotar productos es ca saldo pero reconfortante,"Seechan a perder comidas, se reduce trabajadores y en la economía ",Impacto Económico / Baja Afluencia,Otro Factor / No Especifica,Fácil / Accesible,Sin Malas Experiencias,Falta de tiempo,Que sea segura ,Valioso,Que sea buena ,Valioso,Contacto directo con turistas,5.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Que la actualicen y que me promocione,Que la promoción de resultados y que sea fácil de manejar 
Alimentos y Bebidas,Más de 10 años,No me promociono,Mantener redes sociales es complicado,Recomendaciones,"Recomendaciones, Ferias, De boca a boca",No,Locatarios y turistas venta de frutas yverduras,Sábado y domingo go es fuerte,Por cierre de carreteras esta muy floja la venta,Impacto Económico / Baja Afluencia,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Seguridad,Poco valioso,No la usaria,Poco,Recomendaciones a turistas,1.0,Poco dispuesto,Resultados Tangibles (Ventas/Ingresos),Que fuera permanentemente,Más clientes
Alimentos y Bebidas,1–3 años,Recomendación directa,Las plataformas digitales me ayudan,Recomendaciones,"Redes sociales, Recomendaciones, De boca a boca",No,Café y helados atienden en fines de semana más turistas y entre semana locatarios,Atareadocuando tienen más clientes es en vacaciones y puentes,Economia,Impacto Económico / Baja Afluencia,Infraestructura y Acceso,Fácil / Accesible,Fraudes o Estafas,Falta de tiempo,Seguridad y actualizada sin datos personales y que no cueste,Poco valioso,Seguridad,Valioso,Recomendaciones a turistas,4.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Mucha imagen visual ,Innovacion
Alimentos y Bebidas,4–10 años,Recomendación directa,Las plataformas digitales me ayudan,Redes sociales,"Redes sociales, Plataformas, Ferias, De boca a boca",Sí,Turistas y locatarios,Pues poco complicado,Baja la economia,Impacto Económico / Baja Afluencia,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Las recomendaciones ,Valioso,Confiabilidad,Valioso,Recomendaciones a turistas,3.0,Neutral,Otros / Indeciso,Capacitaciones,Nada
Artesanías y Comercio,4–10 años,Recomendación directa,Mantener redes sociales es complicado,De boca a boca,"De boca a boca, Plataformas, Redes sociales",No,Locatarios,Normal,En época de regreso a clases,Variable / Otro,Falta de Publicidad / Visibilidad,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Conbilidad,Valioso,Capacitaones,Valioso,Recomendaciones a turistas,3.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),Capacitaciones,Ninguna
Alimentos y Bebidas,Menos de 1 año,Recomendación directa,Las plataformas digitales me ayudan,De boca a boca,"Redes sociales, De boca a boca, Recomendaciones",Sí,Alimentos  locatarios ,Ni tan tranquilo ni ajetreadovacaciones. As gente y afecta a la ganancia,Afecta ka economia,Impacto Económico / Baja Afluencia,Infraestructura y Acceso,Difícil / Complicado,Malas Reseñas / Gestión de Reputación,Falta de tiempo,Datos protegidos ,Valioso,Actualizaciones,Valioso,Recomendaciones a turistas,5.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Resultados,Innovadora y  por secciones
Alimentos y Bebidas,Más de 10 años,Plataformas digitales,Las plataformas digitales me ayudan,Plataformas,"Plataformas, Ferias, Redes sociales",Sí,Turistas ,Arriba de 80 cliente ,"Económica, no salen para los gastos ",Variable / Otro,Infraestructura y Acceso,Fácil / Accesible,Sin Malas Experiencias,Pocos clientes,La credibilidad y el alcance en plataforma digitales ,Muy valioso,Promover  el giro gastronómico ,Muy valioso,Recomendaciones a turistas,5.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),Promoción de mi negocio ,Incrementar ventas 
Alimentos y Bebidas,Más de 10 años,Plataformas digitales,Las plataformas digitales me ayudan,Plataformas,"Redes sociales, Recomendaciones, Plataformas",Sí,Turismo ,"Bueno,  ayuda ala economía ",Bajan las ventas ,Impacto Económico / Baja Afluencia,Infraestructura y Acceso,Fácil / Accesible,Sin Malas Experiencias,Pocos clientes,La información verdadera y la promoción en sus plataformas digitales ,Muy valioso,Información actualizada y verdadera ,Muy valioso,Perfil verificado,5.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),Promoción y difusión digitales ,Mejorar mis ventas 
Artesanías y Comercio,Más de 10 años,Otro: De boca en boca,Me cuesta trabajo atraer visitantes,Recomendaciones,"De boca a boca, Recomendaciones, Redes sociales",No,"Venta de ropa artesanal, barro de huasca, Turismo del edo. De México, veracruz",Las ventas son regulares,"En las las vacaciones sube el turismo, y aumentan las ventas, afectan las carreteras la llega de turismo.",Temporada Vacacional,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Que sea real y confiable,Muy valioso,"Productos, ubicación del negocio, fotografías.",Valioso,Contacto directo con turistas,3.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Visibilidad del negocio,"Sea cierta, que sea atractiva, que motive a visitar el lugar."
Alimentos y Bebidas,1–3 años,No me promociono,No siempre veo resultados claros,Redes sociales,"Redes sociales, De boca a boca, Recomendaciones",No,"Restaurante y bar familiar, mariscos mar y tierra, turismo de la cdmx y local","En puentes vacacionales hay mayor turismo, los fines de semana también, aumenta las ventas.","Faltan señalamientos para llegar al lugar, bajas ventas.",Impacto Económico / Baja Afluencia,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Que informe realmente las bondades y ventajas del lugar,Muy valioso,"Costos de productos, actividades, establecimiento, las truchas que son nutritivas, el proceso de cría de truchas.",Muy valioso,Contacto directo con turistas,5.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),"Datos del establecimiento, ubicación, promociones del negocio, celebración de posibles eventos.","Eficiente, recomendable, verídica."
Artesanías y Comercio,Menos de 1 año,No me promociono,Me cuesta trabajo atraer visitantes,De boca a boca,"De boca a boca, Recomendaciones, Redes sociales",No,Locales turistas no muchos,Tranquilo,En puentes en días normales poca afluencia,Temporada Vacacional,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Falta de tiempo,Puede ser buena pero requiere de capacitacion,Valioso,Seguridad,Valioso,Recomendaciones a turistas,4.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Más visibilidad,Más visitantes
Artesanías y Comercio,Más de 10 años,No me promociono,Me cuesta trabajo atraer visitantes,De boca a boca,"Redes sociales, Recomendaciones, De boca a boca",No,Turistas y locales,Tranquilo,"Invierno o semana santa, hay más gente, enero febrero no hay mucha gente pocas ventas",Temporada Vacacional,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Seguridad ,Poco valioso,Seguridad,Neutral,Perfil verificado,3.0,Poco dispuesto,Resultados Tangibles (Ventas/Ingresos),Seguridad,Atracción de clientes
Hospedaje,4–10 años,Otro: Plataforma booking,Mantener redes sociales es complicado,Plataformas,"Redes sociales, De boca a boca",Sí,Hospedaje atienden turistas,Tranquilos emana sa ta y fin de año bastante gente y enero y febrero poca gente,Cuando cierra. Carreteras hay po a gente y si afecta,Impacto Económico / Baja Afluencia,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Margen de costos y seguridad,Valioso,Si,Valioso,Recomendaciones a turistas,5.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),Resultados,Que sea confiable
Alimentos y Bebidas,4–10 años,Plataformas digitales,Las plataformas digitales me ayudan,Plataformas,De boca a boca,Sí,Alimentos y se atienden locales y ocasionalmente turistas,Depende evacuaciones si hay lleno,"Vacaciones mucha , enero poca",Temporada Vacacional,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Seguridad ,Valioso,Seguridad,Muy valioso,Perfil verificado,3.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Seguridad,Innovadora
Alimentos y Bebidas,4–10 años,No me promociono,No siempre veo resultados claros,De boca a boca,"Recomendaciones, De boca a boca",No,,,,Sin Dato,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Seguridad,Poco valioso,Segura y gratuita,Poco,Recomendaciones a turistas,4.0,Poco dispuesto,Resultados Tangibles (Ventas/Ingresos),Segura,Que sea buena
Artesanías y Comercio,1–3 años,No me promociono,Mantener redes sociales es complicado,Recomendaciones,"Recomendaciones, De boca a boca, Ferias",No,Artesania,Normal,A la economia,Impacto Económico / Baja Afluencia,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Segura,Poco valioso,Más clientes,Poco,Mayor visibilidad,4.0,Poco dispuesto,Resultados Tangibles (Ventas/Ingresos),Capacitacion,Que sea buena
Alimentos y Bebidas,4–10 años,Recomendación directa,Mantener redes sociales es complicado,De boca a boca,"Recomendaciones, De boca a boca, Plataformas",No,"Desayunos, comidas y servicio a la carta",Con mucho movimiento y estamos ocupados,Pues hay menos flujo de dinero,Impacto Económico / Baja Afluencia,Otro Factor / No Especifica,Fácil / Accesible,Fraudes o Estafas,Costos de publicidad,Que sea eficiente,Valioso,Que sea facil,Valioso,Mayor visibilidad,3.0,Dispuesto,Otros / Indeciso,Fácil de entender,
Artesanías y Comercio,1–3 años,No me promociono,Me cuesta trabajo atraer visitantes,De boca a boca,De boca a boca,No,Artesanías ,Poca gente,En vacaciones es la mejor temporada ,Temporada Vacacional,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Que nos expliquen como se usa ,Valioso,Que sea de fácil entendimiento ,Valioso,Perfil verificado,5.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Que nis den las herramientas necesarias para usarla,Eficiencia
Alimentos y Bebidas,4–10 años,Redes sociales,Las plataformas digitales me ayudan,Redes sociales,"Redes sociales, Recomendaciones, De boca a boca",No,Comida y bebida ,"Abordar al cliente,volanteo",Economía ,Impacto Económico / Baja Afluencia,Otro Factor / No Especifica,Fácil / Accesible,Malas Reseñas / Gestión de Reputación,Falta de visibilidad,Información real,Valioso,Resultados ,Valioso,Mayor visibilidad,5.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Promoción ,Mayor visibilidad 
Alimentos y Bebidas,1–3 años,Otro: Volantes,Las plataformas digitales me ayudan,Redes sociales,"[""Redes sociales"", ""other""] (otro: Google maps y también instagram)",Sí,Comida ,Muy movido,En semana santa,Temporada Vacacional,Infraestructura y Acceso,Fácil / Accesible,Sin Malas Experiencias,Falta de visibilidad,Que describen las funciones y los beneficios ,Muy valioso,La aprobación del dueño ,Muy valioso,Contacto directo con turistas,5.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),Dejar poner reseñas,Que sea confiable
Hospedaje,Más de 10 años,No me promociono,No siempre veo resultados claros,De boca a boca,De boca a boca,No,Hospedaje y recibimos mochileros,Poca afluencia,En semana santa es más afluencia,Temporada Vacacional,Otro Factor / No Especifica,Difícil / Complicado,Otras Incidencias Técnicas,Falta de conocimientos digitales,Que de una capacitación fácilmente cómase usa,Muy valioso,Capacitación ,Muy valioso,Contacto directo con turistas,5.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),Seguridad ,Confiable 
Artesanías y Comercio,1–3 años,No me promociono,Las plataformas digitales me ayudan,Recomendaciones,"Redes sociales, De boca a boca",No,Artesanías solamente,Es tranquilo ,Vacaciones hay muchísimo turismo ,Temporada Vacacional,Otro Factor / No Especifica,Fácil / Accesible,Sin Malas Experiencias,Costos de publicidad,Que me den anuncios para promocionarme ,Muy valioso,"Lis anuncios, promociones ",Muy valioso,Recomendaciones a turistas,5.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),Que sea se fácil entendimiento ,"Agilidad, y buena imagen "
Alimentos y Bebidas,4–10 años,Recomendación directa,Las plataformas digitales me ayudan,Recomendaciones,"Recomendaciones, De boca a boca, Redes sociales",No,Menú a la carta ,Tranquilo,Si en vacaciones ,Temporada Vacacional,Otro Factor / No Especifica,Difícil / Complicado,Fraudes o Estafas,Falta de visibilidad,Seguridad,Neutral,Alomejor si,Neutral,Recomendaciones a turistas,4.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Que sea segura,Rapidez y fácil entendimiento
Artesanías y Comercio,Más de 10 años,Recomendación directa,Me cuesta trabajo atraer visitantes,Recomendaciones,"Recomendaciones, De boca a boca, Ferias",No,Productos de piel,Se llega agotar el producto ,Economía ,Impacto Económico / Baja Afluencia,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de visibilidad,Que sea para todos los comerciantes,Valioso,Que sea practica,Neutral,Mayor visibilidad,5.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Facilidad de promocionar los productos ,Más ventas
Alimentos y Bebidas,Más de 10 años,No me promociono,No siempre veo resultados claros,De boca a boca,Recomendaciones,No,La venta  de  bebidas hidratates,Tranquilo los días  de mayor frecuencia  somos los días Domingos,La venta es los Domingos  los demás días son de poca afluencia  de visitantes ,Fines de Semana,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Pocos clientes,Que sea confiable y útil ,Valioso,Que sea fácil de manejar,Valioso,Recomendaciones a turistas,4.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Que nos den  a conocer ,Confiable 
Alimentos y Bebidas,Más de 10 años,Recomendación directa,Me cuesta trabajo atraer visitantes,De boca a boca,De boca a boca,No,Comida y a locatarios ,Normal porque ya saben como son las ventas,Economía ,Impacto Económico / Baja Afluencia,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Nada,Valioso,Que sea fácil de usar,Valioso,Mayor visibilidad,4.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Visibilidad ,Más clientela 
Alimentos y Bebidas,Más de 10 años,No me promociono,Me cuesta trabajo atraer visitantes,De boca a boca,"De boca a boca, Recomendaciones",No,Pollo y locatarios,Movido,Economía ,Impacto Económico / Baja Afluencia,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,No confiaría en una plataforma ,Nada valioso,"Nada , no la usuaria ",Nada valioso,Mayor visibilidad,1.0,Nada dispuesto,Otros / Indeciso,Nada porque mi venta es para locatarios,Nada 
Alimentos y Bebidas,4–10 años,Redes sociales,Mantener redes sociales es complicado,Redes sociales,"Redes sociales, Plataformas, De boca a boca",Sí,Barbacoa y pulque,Principal venta de barbacoa y no se agota,Económica ,Variable / Otro,Otro Factor / No Especifica,Fácil / Accesible,Sin Malas Experiencias,Falta de conocimientos digitales,Que este actualizada,Muy valioso,"Facilidad, accesibilidad y un retorno de información para saber siesta funcionando o no",Muy valioso,Contacto directo con turistas,5.0,Muy dispuesto,Mayor Visibilidad y Promoción,Fácil de operar ,Que sea llamativa 
Alimentos y Bebidas,1–3 años,Redes sociales,Mantener redes sociales es complicado,Redes sociales,"Redes sociales, De boca a boca",No,Restaurante,Se agotan algunos productos ,"Económicamente, reducir empleados ",Variable / Otro,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Que otros prestadores la utilicen ,Muy valioso,Abierta al público ,Muy valioso,Recomendaciones a turistas,5.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),Buena promoción ,Que no tenga sobrecupo
Alimentos y Bebidas,4–10 años,Plataformas digitales,Las plataformas digitales me ayudan,Plataformas,"Redes sociales, Recomendaciones, Plataformas",Sí,Restaurante y bar asiste gente con dinero y son sufieciene,Ajetreado en vacaciones los demás días tranquilo,Vaciones ,Temporada Vacacional,Infraestructura y Acceso,Fácil / Accesible,Sin Malas Experiencias,Pocos clientes,Lasnrecomendaciones que allá y que este avalada,Muy valioso,Una norma imagen y buenas recomendaciones sin costo ,Muy valioso,Contacto directo con turistas,5.0,Muy dispuesto,Otros / Indeciso,Las recomendaciones ,Que valga la pena
Alimentos y Bebidas,4–10 años,No me promociono,Las plataformas digitales me ayudan,De boca a boca,Ferias,Sí,Comida,Normal,En vaciones,Temporada Vacacional,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de tiempo,Las recomendaciones ,Valioso,Que sirva,Muy valioso,Recomendaciones a turistas,5.0,Dispuesto,Aprendizaje y Capacitación,La seguridad ,Que funcione
Artesanías y Comercio,4–10 años,Recomendación directa,Mantener redes sociales es complicado,Recomendaciones,"Recomendaciones, Ferias, De boca a boca",No,Vendo artesanías y los visitantes son de una economía media,Si hay venta los fines de semana y vacaciones ,Si en vacaciones y  si no tengo ventas se refleja en la economía ,Temporada Vacacional,Infraestructura y Acceso,Fácil / Accesible,Sin Malas Experiencias,Costos de publicidad,Que sea atractiva y segura,Muy valioso,"Seguridad, confianza, atracción ",Muy valioso,Contacto directo con turistas,5.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),"Que sea innovador, que genere confianza ",Que sea herramienta para promocionar 
Artesanías y Comercio,Más de 10 años,Recomendación directa,Mantener redes sociales es complicado,Recomendaciones,"Recomendaciones, Ferias, De boca a boca",No,Artesanías de  barro y el visitante es de economía media,Los sábados y domingos es cuando hay ventas,"Sábados y domingos, días festivos, vacaciones y cuando no tengo venta afecta a la economía ",Temporada Vacacional,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,"Qye sea seguro, que sea  atractiva para tener más mercados ",Muy valioso,"Seguridad, confianza al turista",Muy valioso,Recomendaciones a turistas,5.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),"Que fuera atractiva, que genere confianza, los precios justos","Que nos ayude a promocionar, que genere confianza al turista y vengan a comprar"
Artesanías y Comercio,Más de 10 años,Recomendación directa,Las plataformas digitales me ayudan,Recomendaciones,"Recomendaciones, Ferias, De boca a boca",No,Artesanías de cerámica ,"Hay buena venta, sábados y domingos y  vacaciones ",No hay venta no se genera,Impacto Económico / Baja Afluencia,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,"Confianza, seguridad, innovación ",Muy valioso,Credibilidad ,Muy valioso,Contacto directo con turistas,5.0,Muy dispuesto,Confianza y Respaldo Institucional,"Seccionado, información actualizada ",Que sea una herramienta práctica para conocer lugares 
Artesanías y Comercio,1–3 años,Recomendación directa,No siempre veo resultados claros,De boca a boca,"De boca a boca, Ferias, Recomendaciones",No,Venta de artículos de limpieza ,Bueno,Si. En los ingresos,Impacto Económico / Baja Afluencia,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Que fuera confiable y segura,Neutral,Que fuera segura y confiable,Valioso,Recomendaciones a turistas,4.0,Neutral,Otros / Indeciso,Seguridad,Que se vea su utilidad de mis ingresos
Artesanías y Comercio,1–3 años,Recomendación directa,Me cuesta trabajo atraer visitantes,Recomendaciones,"Recomendaciones, Plataformas, De boca a boca",No,"Artesanías, estampado de ropa, artesania en mdf",Hay venta regular,"Tramo cerrado de carretera de acceso por obra les afecta sus ventas, hay pocos turistas, así como carreteras en mal estado.",Impacto Económico / Baja Afluencia,Otro Factor / No Especifica,Regular / Neutro,Sin Malas Experiencias,Falta de visibilidad,"Que sea gratuita, sea actualizada, los prestadores de servicios puedan opinar, y los turistas expresar sus experiencias.",Valioso,"Promoción, productos en venta, ubicación, opciones de transporte, demás atractivos turísticos del mio.",Valioso,Contacto directo con turistas,3.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),"Promover eventos en diferentes fechas del año, como atractivo extra.",Mayor turismo y mejorar las ventas. 
Artesanías y Comercio,Más de 10 años,No me promociono,Las plataformas digitales me ayudan,De boca a boca,"De boca a boca, Recomendaciones",Sí,Lo que ofrecemos aquí en el puesto es ya tres años de barro artesanías de cartonería artesanías de mármol bisutería también y es cosas también por ejemplo naturales como algunas cosas secas bueno que obtenemos del cardón y creo que es todo,Un día normal bueno es venimos acomodamos nuestro puesto y luego ponemos ofrecemos a las personas que van pasando nuestros productos los invitamos a acercarse al puesto y le mostramos algunas cosas que se interesan y así es como como es nuestro día,Sí bueno en el caso de las bajas y altas temporadas en las bajas pues nos afectan obviamente en la cuestión de la venta de nuestra economía pero también utilizamos para para producir más cosas o también pues optamos por algunos otros trabajos no abrimos como tal diario aquí cuando son las temporadas bajas,Impacto Económico / Baja Afluencia,Infraestructura y Acceso,Difícil / Complicado,Malas Reseñas / Gestión de Reputación,Falta de visibilidad,Bueno sí creo que sería confiable en cuestión de que ya Ya que ellos pues difunde difundirían y atraerían más el turismo para la zona arqueológica ,Muy valioso,Yo creo que lo que debería a ofrecer es pues como un catálogo de de muchas cosas para para los días que para temporada alta creo que sí algo así,Valioso,Recomendaciones a turistas,4.0,Muy dispuesto,Aprendizaje y Capacitación,Yo creo que lo principal sería defunción difusión y contenido para para los turistas de que O sea que te puedan entrar algo que digan no sé es la sección de Tula y y pueda ofrecer como un catálogo de de lo que venden horarios y accesos y todo,
Artesanías y Comercio,Más de 10 años,Recomendación directa,No siempre veo resultados claros,De boca a boca,"De boca a boca, Ferias, Recomendaciones",No,En especial ahora sí que recomendamos lo que viene siendo la artesanía en barro lapidaria y ya una que ahora sí que las pulseras los anillos los aretes,Un día normal viene siendo fines de semana viernes sábado domingo que es un poquito de más afluencia y más cuando llega a la escuela ante,Pues sí nos afecta demasiado porque realmente por ejemplo si digamos que de toda la semana trabajamos bien bien dos días nos afecta demasiado ahora sí que la falta de la atracción al turistau,Temporada Vacacional,Falta de Recursos / Inversión,Difícil / Complicado,Fraudes o Estafas,Falta de visibilidad,Que media confiado en una plataforma que comprarías pues posiblemente A lo mejor que fueran las ventas así como que más seguras más directas basándonos a una plataforma de confianza,Muy valioso,Pues principalmente Yo creo que más que nada dar a conocer nuestro nuestra artesanía y que es que sí es mucho la la desconfianza que existe por precisamente por lo de la los fraudes que que existen Entonces si existiera una plataforma segura Pues yo digo que lo más recomendable sería como que algo que nos asegure la compra y venta,Nada valioso,Mayor visibilidad,5.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),,
Artesanías y Comercio,Más de 10 años,Recomendación directa,Me cuesta trabajo atraer visitantes,Ferias,"Ferias, De boca a boca, Recomendaciones",No,Artesanías y visitantes locales,Pocos ingresos ,En los ingresos ,Impacto Económico / Baja Afluencia,Ninguno,Difícil / Complicado,Sin Malas Experiencias,Falta de visibilidad,La seguridad ,Neutral,Mayor  difusión ,Valioso,Recomendaciones a turistas,5.0,Dispuesto,Mayor Visibilidad y Promoción,Difusión ,Aumentar  ventas 
