Id,Tipo de Servicio que se ofrece: ,Tipo de Servicio que se ofrece:  (Otro),Años de operación:,¿Cómo te promocionas actualmente?,¿Cómo te promocionas actualmente? (Otro),¿Cómo describes la función de promoción actualmente?,¿Cómo te das a conocer actualmente?,¿Cómo te das a conocer actualmente? (Otro),De esos medios: Elige 3 que realmente te traen clientes.,De esos medios: Elige 3 que realmente te traen clientes. (Otro),¿Usas alguna app o plataforma para promocionar tu servicio? ¿Cómo ha sido tu experiencia?,Cuéntame un poco sobre tu negocio o servicio. ¿Qué ofreces y a qué tipo de visitantes atiendes normalmente?,¿Cómo es un día normal para ti cuando tienes visitantes o clientes?,¿Hay temporadas donde tienes muchos visitantes y otras donde casi no llegan? ¿Cómo te afecta eso?,¿Cuál dirías que es el principal problema que enfrentas para atraer más visitantes?,"¿Qué tan fácil o difícil te resulta usar herramientas digitales para promocionarte?
",¿Has tenido alguna mala experiencia con plataformas digitales o redes sociales? ¿Qué pasó?,"Menciona ¿Cuál consideras sería la principal dificultad?
",¿Qué te haría confiar en una plataforma turística del gobierno del estado?,¿Qué tan valioso sería para ti aparecer en una app oficial que recomiende tu servicio a los visitantes?,"Si esa app existiera, ¿qué debería ofrecerte para que realmente la usaras?",¿Qué tan valioso consideras sería aparecer en una app turística oficial?,¿Qué funciones te resultarían más útiles?,En una escal del 1 al 5; donde 1 es nada y 5 totalmente. ¿Qué tanto confiaría en una plataforma que es oficial y gratuita?,"¿Qué tan dispuesto estarías a mantener tu información actualizada (por ejemplo de horarios, precios, fotos)?",¿Qué te motivaría a seguir usando la plataforma en el tiempo?,"Si pudieras pedirle algo a una plataforma turística para apoyar tu negocio, ¿qué sería?
","En una frase, ¿qué esperas de una plataforma turística del estado?"
46,Otro: Servicio de hospedaje y recorridos turísticos,,4–10 años,Recomendación directa,,Las plataformas digitales me ayudan,Otro: Redes sociales y personalmente,,"Redes sociales, Recomendaciones, De boca a boca",,VERDADERO,Hospedaje de cabañas y recorridos a centros turisticos,Muy movido por tener que visitar los centros turísticos que quiera el cliente,"Bastante, pasando vacaciones baja el número de visitantes",Actualmente por el deterioro de las carreteras y por la falta de conocimientos del pueblo,Es más fácil llegar a más gente,No,Falta de conocimientos digitales,Saber bien como funciona la plataforma ,Valioso,Información completa del pueblo y de las actividades que hay,Valioso,Contacto directo con turistas,3,Dispuesto,Que si haga una diferencia ,Que recomienden a todos de igual manera,Igualdad
47,Restaurante / café,,4–10 años,Recomendación directa,,Las plataformas digitales me ayudan,Redes sociales,,"Redes sociales, Recomendaciones, De boca a boca",,FALSO,Comida y bebida ,Abordo al cliente y le ofreces el servicio,En la economía ,Competencia ,Facil,"Si, comentarios malos ",Falta de tiempo,Que no sea costosa y que la información Sea real ,Valioso,Que promociones todo lo que ofrecemos y que este actualizada ,Valioso,Recomendaciones a turistas,5,Muy dispuesto,Que tenga exito,Buena informacio Y accesibilidad ,Que tenga u mayor alcance turístico
48,Artesanía,,Más de 10 años,No me promociono,,No siempre veo resultados claros,Recomendaciones,,"Recomendaciones, Plataformas, De boca a boca, Redes sociales",,FALSO,Artesanias,Ajetreado,En la economia,Promoción ,Dificil,No,Falta de conocimientos digitales,La veracidad de la información ,Muy valioso,Accesibilidad ,Muy valioso,Recomendaciones a turistas,5,Muy dispuesto,La atracción. De calientes ,Promoción ,Información. Actualizada
49,Restaurante / café,,4–10 años,Redes sociales,,Mantener redes sociales es complicado,Redes sociales,,"Redes sociales, Plataformas, De boca a boca, Recomendaciones",,VERDADERO,Comida y bebidas,Ventas normales ,Principalm3nte en la economía ,Temporadas,Facil,No,Pocos clientes,Que se mantenga actualizada y que de resultados esperados,Valioso,Que se mantenga actualizado ,Valioso,Mayor visibilidad,5,Dispuesto,Que sea fácil se usar y que se mantenga actualizada ,Que funcione,Que llamativa y accesible 
50,Restaurante / café,,Más de 10 años,Redes sociales,,Mantener redes sociales es complicado,Redes sociales,,"Redes sociales, Recomendaciones, De boca a boca",,FALSO,Comida y bebidas ,Se llegan a agotar productos es ca saldo pero reconfortante,"Seechan a perder comidas, se reduce trabajadores y en la economía ",Competencia ,"Facil, pe4o no tiene tiempo",No,Falta de tiempo,Que sea segura ,Valioso,Que sea buena ,Valioso,Contacto directo con turistas,5,Dispuesto,Ver resultados ,Que la actualicen y que me promocione,Que la promoción de resultados y que sea fácil de manejar 
51,Otro: Frutas y verduras,,Más de 10 años,No me promociono,,Mantener redes sociales es complicado,Recomendaciones,,"Recomendaciones, Ferias, De boca a boca",,FALSO,Locatarios y turistas venta de frutas yverduras,Sábado y domingo go es fuerte,Por cierre de carreteras esta muy floja la venta,Carreteras,Dificil,No,Falta de conocimientos digitales,Seguridad,Poco valioso,No la usaria,Poco,Recomendaciones a turistas,1,Poco dispuesto,El aumento de clientes,Que fuera permanentemente,Más clientes
52,Otro: Café y helados,,1–3 años,Recomendación directa,,Las plataformas digitales me ayudan,Recomendaciones,,"Redes sociales, Recomendaciones, De boca a boca",,FALSO,Café y helados atienden en fines de semana más turistas y entre semana locatarios,Atareadocuando tienen más clientes es en vacaciones y puentes,Economia,Cierre de carreteras ,Facil,Estafa,Falta de tiempo,Seguridad y actualizada sin datos personales y que no cueste,Poco valioso,Seguridad,Valioso,Recomendaciones a turistas,4,Dispuesto,Aumento de clientes,Mucha imagen visual ,Innovacion
53,Restaurante / café,,4–10 años,Recomendación directa,,Las plataformas digitales me ayudan,Redes sociales,,"Redes sociales, Plataformas, Ferias, De boca a boca",,VERDADERO,Turistas y locatarios,Pues poco complicado,Baja la economia,Cierre de carreteras,No es complicado,No,Falta de conocimientos digitales,Las recomendaciones ,Valioso,Confiabilidad,Valioso,Recomendaciones a turistas,3,Neutral,Recomendaciones,Capacitaciones,Nada
54,Otro: Papeleria,,4–10 años,Recomendación directa,,Mantener redes sociales es complicado,De boca a boca,,"De boca a boca, Plataformas, Redes sociales",,FALSO,Locatarios,Normal,En época de regreso a clases,No tener redes,Complicado,No,Falta de conocimientos digitales,Conbilidad,Valioso,Capacitaones,Valioso,Recomendaciones a turistas,3,Muy dispuesto,Grandes ventas,Capacitaciones,Ninguna
55,Restaurante / café,,Menos de 1 año,Recomendación directa,,Las plataformas digitales me ayudan,De boca a boca,,"Redes sociales, De boca a boca, Recomendaciones",,VERDADERO,Alimentos  locatarios ,Ni tan tranquilo ni ajetreadovacaciones. As gente y afecta a la ganancia,Afecta ka economia,Cierre de carreteras,Un poco dificil,"Si , por clientes que se van a disgustos mala reseña",Falta de tiempo,Datos protegidos ,Valioso,Actualizaciones,Valioso,Recomendaciones a turistas,5,Dispuesto,Resultados,Resultados,Innovadora y  por secciones
56,Restaurante / café,,Más de 10 años,Plataformas digitales,,Las plataformas digitales me ayudan,Plataformas,,"Plataformas, Ferias, Redes sociales",,VERDADERO,Turistas ,Arriba de 80 cliente ,"Económica, no salen para los gastos ","Las obras de mantenimiento en este momento,  desvían el paso de los turistas por otros lados ",Ayudan a promover el restaurante ,No,Pocos clientes,La credibilidad y el alcance en plataforma digitales ,Muy valioso,Promover  el giro gastronómico ,Muy valioso,Recomendaciones a turistas,5,Muy dispuesto,Mayores ventas,Promoción de mi negocio ,Incrementar ventas 
57,Restaurante / café,,Más de 10 años,Plataformas digitales,,Las plataformas digitales me ayudan,Plataformas,,"Redes sociales, Recomendaciones, Plataformas",,VERDADERO,Turismo ,"Bueno,  ayuda ala economía ",Bajan las ventas ,Las obras en proceso en este momento en la cabeza municipal ,"No, ayuda a darse a conocer y promover el negocio ",No,Pocos clientes,La información verdadera y la promoción en sus plataformas digitales ,Muy valioso,Información actualizada y verdadera ,Muy valioso,Perfil verificado,5,Muy dispuesto,Mejoras ventas ,Promoción y difusión digitales ,Mejorar mis ventas 
58,Artesanía,,Más de 10 años,Otro: De boca en boca,,Me cuesta trabajo atraer visitantes,Recomendaciones,,"De boca a boca, Recomendaciones, Redes sociales",,FALSO,"Venta de ropa artesanal, barro de huasca, Turismo del edo. De México, veracruz",Las ventas son regulares,"En las las vacaciones sube el turismo, y aumentan las ventas, afectan las carreteras la llega de turismo.","Las carreteras en mal estado, capacitación a personal de pdcia. Mpal. Para orientar y dar buen trato al turismo.",Se le dificulta por la actualización de información en redes,Falta de conocimientos en redes,Falta de conocimientos digitales,Que sea real y confiable,Muy valioso,"Productos, ubicación del negocio, fotografías.",Valioso,Contacto directo con turistas,3,Dispuesto,Que sea real y se refleje en aumento ventas,Visibilidad del negocio,"Sea cierta, que sea atractiva, que motive a visitar el lugar."
59,Restaurante / café,,1–3 años,No me promociono,,No siempre veo resultados claros,Redes sociales,,"Redes sociales, De boca a boca, Recomendaciones",,FALSO,"Restaurante y bar familiar, mariscos mar y tierra, turismo de la cdmx y local","En puentes vacacionales hay mayor turismo, los fines de semana también, aumenta las ventas.","Faltan señalamientos para llegar al lugar, bajas ventas.","Señalizar el lugar, promocionar, eventos música en vivo. Mejorar el establecimiento.","Sabe manejar las redes, aunque no todas",No,Falta de conocimientos digitales,Que informe realmente las bondades y ventajas del lugar,Muy valioso,"Costos de productos, actividades, establecimiento, las truchas que son nutritivas, el proceso de cría de truchas.",Muy valioso,Contacto directo con turistas,5,Muy dispuesto,Que diera resultados,"Datos del establecimiento, ubicación, promociones del negocio, celebración de posibles eventos.","Eficiente, recomendable, verídica."
60,Otro: Artesanias,,Menos de 1 año,No me promociono,,Me cuesta trabajo atraer visitantes,De boca a boca,,"De boca a boca, Recomendaciones, Redes sociales",,FALSO,Locales turistas no muchos,Tranquilo,En puentes en días normales poca afluencia,Poco tiempo operando,No lo ha intentado,No,Falta de tiempo,Puede ser buena pero requiere de capacitacion,Valioso,Seguridad,Valioso,Recomendaciones a turistas,4,Dispuesto,El aumento de clientes ,Más visibilidad,Más visitantes
61,Otro: Regalos farmacia tienda,,Más de 10 años,No me promociono,,Me cuesta trabajo atraer visitantes,De boca a boca,,"Redes sociales, Recomendaciones, De boca a boca",,FALSO,Turistas y locales,Tranquilo,"Invierno o semana santa, hay más gente, enero febrero no hay mucha gente pocas ventas",Carreteras cierres,Dificil,No,Falta de conocimientos digitales,Seguridad ,Poco valioso,Seguridad,Neutral,Perfil verificado,3,Poco dispuesto,Aumento de clientes,Seguridad,Atracción de clientes
62,Hospedaje,,4–10 años,Otro: Plataforma booking,,Mantener redes sociales es complicado,Plataformas,,"Redes sociales, De boca a boca",,VERDADERO,Hospedaje atienden turistas,Tranquilos emana sa ta y fin de año bastante gente y enero y febrero poca gente,Cuando cierra. Carreteras hay po a gente y si afecta,Cierre de carregeras,Dificil,Yo no pero el anterior encargado si en facebook,Falta de conocimientos digitales,Margen de costos y seguridad,Valioso,Si,Valioso,Recomendaciones a turistas,5,Muy dispuesto,Aumento to de clientes resultados,Resultados,Que sea confiable
63,Restaurante / café,,4–10 años,Plataformas digitales,,Las plataformas digitales me ayudan,Plataformas,,De boca a boca,,VERDADERO,Alimentos y se atienden locales y ocasionalmente turistas,Depende evacuaciones si hay lleno,"Vacaciones mucha , enero poca",Falta publicidad y cierre de carreteras,No es dificil,No,Falta de conocimientos digitales,Seguridad ,Valioso,Seguridad,Muy valioso,Perfil verificado,3,Dispuesto,Que si atrahera clientes,Seguridad,Innovadora
64,Otro: Abarrotes,,4–10 años,No me promociono,,No siempre veo resultados claros,De boca a boca,,"Recomendaciones, De boca a boca",,FALSO,,,,Poca afluencia,Mucho,No,Falta de conocimientos digitales,Seguridad,Poco valioso,Segura y gratuita,Poco,Recomendaciones a turistas,4,Poco dispuesto,Más clientes,Segura,Que sea buena
65,Artesanía,,1–3 años,No me promociono,,Mantener redes sociales es complicado,Recomendaciones,,"Recomendaciones, De boca a boca, Ferias",,FALSO,Artesania,Normal,A la economia,Cierrede carreteras,Dificil,No,Falta de conocimientos digitales,Segura,Poco valioso,Más clientes,Poco,Mayor visibilidad,4,Poco dispuesto,Más clientes ,Capacitacion,Que sea buena
66,Restaurante / café,,4–10 años,Recomendación directa,,Mantener redes sociales es complicado,De boca a boca,,"Recomendaciones, De boca a boca, Plataformas",,FALSO,"Desayunos, comidas y servicio a la carta",Con mucho movimiento y estamos ocupados,Pues hay menos flujo de dinero,La temporada baja cuando no hay turistas,Fácil ,Si se han escuchado comentarios de que por medio de apps hay estafas,Costos de publicidad,Que sea eficiente,Valioso,Que sea facil,Valioso,Mayor visibilidad,3,Dispuesto,Que suba el turismo,Fácil de entender,
67,Artesanía,,1–3 años,No me promociono,,Me cuesta trabajo atraer visitantes,De boca a boca,,De boca a boca,,FALSO,Artesanías ,Poca gente,En vacaciones es la mejor temporada ,Que no hay tiempo para que las personas vengan,No se usarlas,No,Falta de conocimientos digitales,Que nos expliquen como se usa ,Valioso,Que sea de fácil entendimiento ,Valioso,Perfil verificado,5,Dispuesto,Las buenas ventas ,Que nis den las herramientas necesarias para usarla,Eficiencia
68,Restaurante / café,,4–10 años,Redes sociales,,Las plataformas digitales me ayudan,Redes sociales,,"Redes sociales, Recomendaciones, De boca a boca",,FALSO,Comida y bebida ,"Abordar al cliente,volanteo",Economía ,Competencia ,Fácil ,Si malos comentarios ,Falta de visibilidad,Información real,Valioso,Resultados ,Valioso,Mayor visibilidad,5,Dispuesto,Ventas ,Promoción ,Mayor visibilidad 
69,Restaurante / café,,1–3 años,Otro: Volantes,,Las plataformas digitales me ayudan,Redes sociales,,"[""Redes sociales"", ""other""] (otro: Google maps y también instagram)",,VERDADERO,Comida ,Muy movido,En semana santa,La vialidad de las calles,Muy facil,Si es buena,Falta de visibilidad,Que describen las funciones y los beneficios ,Muy valioso,La aprobación del dueño ,Muy valioso,Contacto directo con turistas,5,Muy dispuesto,Dependiendo los resultados,Dejar poner reseñas,Que sea confiable
70,Hospedaje,,Más de 10 años,No me promociono,,No siempre veo resultados claros,De boca a boca,,De boca a boca,,FALSO,Hospedaje y recibimos mochileros,Poca afluencia,En semana santa es más afluencia,Hay mucha competencia ,Muy difícil ,Si y fue nada experiencia ,Falta de conocimientos digitales,Que de una capacitación fácilmente cómase usa,Muy valioso,Capacitación ,Muy valioso,Contacto directo con turistas,5,Muy dispuesto,Las ventas y más visitantes ,Seguridad ,Confiable 
71,Artesanía,,1–3 años,No me promociono,,Las plataformas digitales me ayudan,Recomendaciones,,"Redes sociales, De boca a boca",,FALSO,Artesanías solamente,Es tranquilo ,Vacaciones hay muchísimo turismo ,La competencia y que no somos tan visibles ,Fácil ,No,Costos de publicidad,Que me den anuncios para promocionarme ,Muy valioso,"Lis anuncios, promociones ",Muy valioso,Recomendaciones a turistas,5,Muy dispuesto,Que tenga buenos resultados y venda más ,Que sea se fácil entendimiento ,"Agilidad, y buena imagen "
72,Restaurante / café,,4–10 años,Recomendación directa,,Las plataformas digitales me ayudan,Recomendaciones,,"Recomendaciones, De boca a boca, Redes sociales",,FALSO,Menú a la carta ,Tranquilo,Si en vacaciones ,Cuando no es temporada alta,No me interesa mucho,Han habido estafas,Falta de visibilidad,Seguridad,Neutral,Alomejor si,Neutral,Recomendaciones a turistas,4,Dispuesto,Más visitantes,Que sea segura,Rapidez y fácil entendimiento
73,Artesanía,,Más de 10 años,Recomendación directa,,Me cuesta trabajo atraer visitantes,Recomendaciones,,"Recomendaciones, De boca a boca, Ferias",,FALSO,Productos de piel,Se llega agotar el producto ,Economía ,Los caminos,No las utilizo porque la misma gente los promociona,No las utiliza ,Falta de visibilidad,Que sea para todos los comerciantes,Valioso,Que sea practica,Neutral,Mayor visibilidad,5,Dispuesto,Mejores ventas,Facilidad de promocionar los productos ,Más ventas
74,Otro: Dulces,,Más de 10 años,No me promociono,,No siempre veo resultados claros,De boca a boca,,Recomendaciones,,FALSO,La venta  de  bebidas hidratates,Tranquilo los días  de mayor frecuencia  somos los días Domingos,La venta es los Domingos  los demás días son de poca afluencia  de visitantes ,La ubicación  no tenemos acceso  a la zona  Arqueologica,Demasido,Poco conocimiento ,Pocos clientes,Que sea confiable y útil ,Valioso,Que sea fácil de manejar,Valioso,Recomendaciones a turistas,4,Dispuesto,Ver resultados ,Que nos den  a conocer ,Confiable 
75,Otro: Tortillas y pollos,,Más de 10 años,Recomendación directa,,Me cuesta trabajo atraer visitantes,De boca a boca,,De boca a boca,,FALSO,Comida y a locatarios ,Normal porque ya saben como son las ventas,Economía ,El estacionamiento ,No las necesita porque ya los conocen llevan más de 40 años,No las uso,Falta de conocimientos digitales,Nada,Valioso,Que sea fácil de usar,Valioso,Mayor visibilidad,4,Dispuesto,Ventas,Visibilidad ,Más clientela 
76,Otro: Ventas pollo,,Más de 10 años,No me promociono,,Me cuesta trabajo atraer visitantes,De boca a boca,,"De boca a boca, Recomendaciones",,FALSO,Pollo y locatarios,Movido,Economía ,Los caminos y falta de estacionamiento ,Muy difíciles ,"No, no las utilizo",Falta de conocimientos digitales,No confiaría en una plataforma ,Nada valioso,"Nada , no la usuaria ",Nada valioso,Mayor visibilidad,1,Nada dispuesto,No la usuaria ,Nada porque mi venta es para locatarios,Nada 
77,Restaurante / café,,4–10 años,Redes sociales,,Mantener redes sociales es complicado,Redes sociales,,"Redes sociales, Plataformas, De boca a boca",,VERDADERO,Barbacoa y pulque,Principal venta de barbacoa y no se agota,Económica ,Las temporadas ,Es fácil y funcional,No,Falta de conocimientos digitales,Que este actualizada,Muy valioso,"Facilidad, accesibilidad y un retorno de información para saber siesta funcionando o no",Muy valioso,Contacto directo con turistas,5,Muy dispuesto,Visibilidad ,Fácil de operar ,Que sea llamativa 
78,Restaurante / café,,1–3 años,Redes sociales,,Mantener redes sociales es complicado,Redes sociales,,"Redes sociales, De boca a boca",,FALSO,Restaurante,Se agotan algunos productos ,"Económicamente, reducir empleados ",Falta de promoción ,No es tan difícil ,No,Falta de conocimientos digitales,Que otros prestadores la utilicen ,Muy valioso,Abierta al público ,Muy valioso,Recomendaciones a turistas,5,Muy dispuesto,Ver resultados ,Buena promoción ,Que no tenga sobrecupo
79,Restaurante / café,,4–10 años,Plataformas digitales,,Las plataformas digitales me ayudan,Plataformas,,"Redes sociales, Recomendaciones, Plataformas",,VERDADERO,Restaurante y bar asiste gente con dinero y son sufieciene,Ajetreado en vacaciones los demás días tranquilo,Vaciones ,Cuando arreglan la carretera se desvían l9s vehiculos,Sencillo,No,Pocos clientes,Lasnrecomendaciones que allá y que este avalada,Muy valioso,Una norma imagen y buenas recomendaciones sin costo ,Muy valioso,Contacto directo con turistas,5,Muy dispuesto,Que sea buena y viable,Las recomendaciones ,Que valga la pena
80,Restaurante / café,,4–10 años,No me promociono,,Las plataformas digitales me ayudan,De boca a boca,,Ferias,,VERDADERO,Comida,Normal,En vaciones,La carretera,Dificiles,No,Falta de tiempo,Las recomendaciones ,Valioso,Que sirva,Muy valioso,Recomendaciones a turistas,5,Dispuesto,La actualización ,La seguridad ,Que funcione
81,Artesanía,,4–10 años,Recomendación directa,,Mantener redes sociales es complicado,Recomendaciones,,"Recomendaciones, Ferias, De boca a boca",,FALSO,Vendo artesanías y los visitantes son de una economía media,Si hay venta los fines de semana y vacaciones ,Si en vacaciones y  si no tengo ventas se refleja en la economía ,"Las vialidades, falta de estacionamiento, falta de transporte ",Es fácil ,No ninguna,Costos de publicidad,Que sea atractiva y segura,Muy valioso,"Seguridad, confianza, atracción ",Muy valioso,Contacto directo con turistas,5,Muy dispuesto,Atraer más turistas,"Que sea innovador, que genere confianza ",Que sea herramienta para promocionar 
82,Artesanía,,Más de 10 años,Recomendación directa,,Mantener redes sociales es complicado,Recomendaciones,,"Recomendaciones, Ferias, De boca a boca",,FALSO,Artesanías de  barro y el visitante es de economía media,Los sábados y domingos es cuando hay ventas,"Sábados y domingos, días festivos, vacaciones y cuando no tengo venta afecta a la economía ","La carreteras, vialidades, no hay mucho transporte el turista se va temprano ",Difícil ,No,Falta de conocimientos digitales,"Qye sea seguro, que sea  atractiva para tener más mercados ",Muy valioso,"Seguridad, confianza al turista",Muy valioso,Recomendaciones a turistas,5,Muy dispuesto,La confianza al turista,"Que fuera atractiva, que genere confianza, los precios justos","Que nos ayude a promocionar, que genere confianza al turista y vengan a comprar"
83,Artesanía,,Más de 10 años,Recomendación directa,,Las plataformas digitales me ayudan,Recomendaciones,,"Recomendaciones, Ferias, De boca a boca",,FALSO,Artesanías de cerámica ,"Hay buena venta, sábados y domingos y  vacaciones ",No hay venta no se genera,"Vialidades, transporte ",Difícil ,No,Falta de conocimientos digitales,"Confianza, seguridad, innovación ",Muy valioso,Credibilidad ,Muy valioso,Contacto directo con turistas,5,Muy dispuesto,La seguridad ,"Seccionado, información actualizada ",Que sea una herramienta práctica para conocer lugares 
84,Otro: Productos de limpieza,,1–3 años,Recomendación directa,,No siempre veo resultados claros,De boca a boca,,"De boca a boca, Ferias, Recomendaciones",,FALSO,Venta de artículos de limpieza ,Bueno,Si. En los ingresos,El trato que se le da al turismo ,Dificil,No,Falta de conocimientos digitales,Que fuera confiable y segura,Neutral,Que fuera segura y confiable,Valioso,Recomendaciones a turistas,4,Neutral,Confiabilidad,Seguridad,Que se vea su utilidad de mis ingresos
85,Artesanía,,1–3 años,Recomendación directa,,Me cuesta trabajo atraer visitantes,Recomendaciones,,"Recomendaciones, Plataformas, De boca a boca",,FALSO,"Artesanías, estampado de ropa, artesania en mdf",Hay venta regular,"Tramo cerrado de carretera de acceso por obra les afecta sus ventas, hay pocos turistas, así como carreteras en mal estado.","Considerar más atractivos en cabecera municipal, como bailes folclórico, eventos musicales, caravanas, eventos de día de muertos. ","Regular, hacen falta conocimientos en el tema.",No,Falta de visibilidad,"Que sea gratuita, sea actualizada, los prestadores de servicios puedan opinar, y los turistas expresar sus experiencias.",Valioso,"Promoción, productos en venta, ubicación, opciones de transporte, demás atractivos turísticos del mio.",Valioso,Contacto directo con turistas,3,Dispuesto,Conocer más al turista,"Promover eventos en diferentes fechas del año, como atractivo extra.",Mayor turismo y mejorar las ventas. 
86,Artesanía,,Más de 10 años,No me promociono,,Las plataformas digitales me ayudan,De boca a boca,,"De boca a boca, Recomendaciones",,VERDADERO,Lo que ofrecemos aquí en el puesto es ya tres años de barro artesanías de cartonería artesanías de mármol bisutería también y es cosas también por ejemplo naturales como algunas cosas secas bueno que obtenemos del cardón y creo que es todo,Un día normal bueno es venimos acomodamos nuestro puesto y luego ponemos ofrecemos a las personas que van pasando nuestros productos los invitamos a acercarse al puesto y le mostramos algunas cosas que se interesan y así es como como es nuestro día,Sí bueno en el caso de las bajas y altas temporadas en las bajas pues nos afectan obviamente en la cuestión de la venta de nuestra economía pero también utilizamos para para producir más cosas o también pues optamos por algunos otros trabajos no abrimos como tal diario aquí cuando son las temporadas bajas,Bueno yo creo que el problema es la difusión de la zona arqueológica la difusión y también el estado de la zona porque está un poquito olvidado y que por ejemplo en días como el 21 de Marzo o feriados se sigue cobrando entradas entonces solo el domingo creo que sí el domingo es donde no se cobra entrada pero en los días festivos cuando yo creo que debería de ser gratuito para que tengamos más invitados,Bueno no no es como tal difícil pero lo hacemos luego más desde casa o sea días antes cuando tenemos algunas cuestiones para difundir o Algunas veces aquí nos agarre bien la señal entonces pero en ese caso es como complicado pero en casa si las podemos manejar,No Bueno no no no he tenido como alguna mala experiencia con con ellas,Falta de visibilidad,Bueno sí creo que sería confiable en cuestión de que ya Ya que ellos pues difunde difundirían y atraerían más el turismo para la zona arqueológica ,Muy valioso,Yo creo que lo que debería a ofrecer es pues como un catálogo de de muchas cosas para para los días que para temporada alta creo que sí algo así,Valioso,Recomendaciones a turistas,4,Muy dispuesto,Me motivaría bueno que para seguir trabajando en la plataforma las actualizaciones un que sea fácil de usar y y también la el contenido que informativo que tengan ,Yo creo que lo principal sería defunción difusión y contenido para para los turistas de que O sea que te puedan entrar algo que digan no sé es la sección de Tula y y pueda ofrecer como un catálogo de de lo que venden horarios y accesos y todo,
87,Artesanía,,Más de 10 años,Recomendación directa,,No siempre veo resultados claros,De boca a boca,,"De boca a boca, Ferias, Recomendaciones",,FALSO,En especial ahora sí que recomendamos lo que viene siendo la artesanía en barro lapidaria y ya una que ahora sí que las pulseras los anillos los aretes,Un día normal viene siendo fines de semana viernes sábado domingo que es un poquito de más afluencia y más cuando llega a la escuela ante,Pues sí nos afecta demasiado porque realmente por ejemplo si digamos que de toda la semana trabajamos bien bien dos días nos afecta demasiado ahora sí que la falta de la atracción al turistau,El principal problema que ahora sí que lo que nos afecta a nosotros es a lo mejor el costo de la entrada muchas veces entre semana Pues sí si viene una familia de cinco personas Pues sí la verdad está un poco elevado al costo para para que ingresen todos hay familias que se regresan a veces no entran a la zona por lo mismo de que el costo es elevado,Pues casi ahora sí que casi no lo utilizo Yo creo que más que nada por con los conocidos lo único que puedo o se me hace más práctico es el WhatsApp y ya envío mensaje o un sonido de voz,Sí la verdad Bueno en este caso directamente a mi familia si hubo una ocasión que les hicieron un fraude queriendo vender ahora sí que unas piezas pues Aparentemente habían hecho el depósito de del costo de la pieza y a la mera hora pues después de tres días nos dieron pues nos dijeron que no no había fue fraude todo,Falta de visibilidad,Que media confiado en una plataforma que comprarías pues posiblemente A lo mejor que fueran las ventas así como que más seguras más directas basándonos a una plataforma de confianza,Muy valioso,Pues principalmente Yo creo que más que nada dar a conocer nuestro nuestra artesanía y que es que sí es mucho la la desconfianza que existe por precisamente por lo de la los fraudes que que existen Entonces si existiera una plataforma segura Pues yo digo que lo más recomendable sería como que algo que nos asegure la compra y venta,Nada valioso,Mayor visibilidad,5,Muy dispuesto,Ve los resultados de que realmente sea una plataforma eficaz y confiable,,
88,Artesanía,,Más de 10 años,Recomendación directa,,Me cuesta trabajo atraer visitantes,Ferias,,"Ferias, De boca a boca, Recomendaciones",,FALSO,Artesanías y visitantes locales,Pocos ingresos ,En los ingresos ,Zona arqueológica muy abandonada ,Muy difícil ,No,Falta de visibilidad,La seguridad ,Neutral,Mayor  difusión ,Valioso,Recomendaciones a turistas,5,Dispuesto,La difusión ,Difusión ,Aumentar  ventas 
89,Artesanía,,Más de 10 años,Plataformas digitales,,Las plataformas digitales me ayudan,Ferias,,"Redes sociales, Plataformas, Ferias",,FALSO,Artesanías  y turismo  local ,Tranquilo ,"Si, afecta  los  ingresos ",Falta  de publicidad ,Difícil ,No,Pocos clientes,Seguridad ,Valioso,Que sea confiable ,Muy valioso,Mayor visibilidad,5,Dispuesto,Aumentar  ventas ,Apoyar  en la difusión  de los comerciantes seguridad ,Seguridad 
90,Restaurante / café,,1–3 años,Plataformas digitales,,Las plataformas digitales me ayudan,Recomendaciones,,De boca a boca,,VERDADERO,Normalmente a los Locales,Cuando son vacaciones esta lleno,"En vacaciones si hay gente, en enero hay poco gente",Falta publicidad ,No muy difícil,No,Falta de conocimientos digitales,Que sea segura,Valioso,Segura,Valioso,Perfil verificado,3,Dispuesto,Que este verificado,Seguridad,Innovadora 
91,Otro: Tiend,,4–10 años,No me promociono,,No siempre veo resultados claros,De boca a boca,,De boca a boca,,FALSO,Turistas fin de semana y locatarios entre semana,"Turistas,os en semana santa",Semana santa y vacaciones,Los lugares principales abren más problema,Dificil,No,Falta de conocimientos digitales,Sus páginas promociones,Muy valioso,Que se vea que vendo y que de diferente ofrezco,Muy valioso,Mayor visibilidad,5,Dispuesto,Que si funcionaba publicidad y ser tomado en cuenta y accesoria,Accesoria,Espero ventas
