Id,1. ¿De dónde nos visitas?,1.1 ¿De qué municipio del estado de Hidalgo perteneces?,2. ¿En qué rango de edad te encuentras?,"3. ¿Con qué género te identificas?
","4. ¿Con qué frecuencia realizas viajes dentro de México?
","5. ¿Cuántas veces ha visitado alguno de los destinos turísticos de Hidalgo en los últimos 24 meses?
","6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?
","6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?
 (Otro)",7. Los medios donde buscas inspiración para elegir destinos en Hidalgo.,7. Los medios donde buscas inspiración para elegir destinos en Hidalgo. (Otro),8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases:,8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases: (Otro),9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística?,9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística? (Otro),"10. En una escala del 1 al 5 donde 1 es Nada valioso y 5 es Muy valioso ¿Cómo sería para ti que una app turística te recomiende comercios y experiencias locales auténticas?
","11. De una escala del 1 al 5 donde 1 es Totalmente en desacuerdo y 5 es Totalmente de acuerdo. Indica que tanto estás de acuerdo con la siguiente frase:  ""Me sentiría más confiado/a usando una app turística si sé que las recomendaciones están validadas por personas locales o por una institución oficial.”
",12. ¿Qué tipo de información consideras más importante?,12. ¿Qué tipo de información consideras más importante? (Otro),13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar?,13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar? (Otro),"14. En una escala del 1 al 5,  donde 1 es nada probable y 5 muy probable. ¿Qué tan probable es que uses una app oficial del estado de Hidalgo para planear y vivir tus viajes?
",15. ¿Qué funciones consideras indispensables en una app de viajes?,15. ¿Qué funciones consideras indispensables en una app de viajes? (Otro),16. ¿Qué haría que dejaras de usar una app turística? (Selecciona 3 opciones),"17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?
","17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?
 (Otro)"
173,Ciudad de México,,18–29 años,Hombre,Varias veces al año,2 veces,Cultura / Historia,,Redes sociales,,Me generan seguridad para tomar decisiones,,Fotos reales,,4,5,Horarios actualizados,,Falta de información en el momento exacto,,4,Comercios y servicios cercanos,,Exceso de publicidad,Que tenga horarios actualizados ,
174,Estado de México,,40–49 años,Mujer,Una vez al año,3 veces,Viaje Familiar,,Recomendaciones de amigos / familia,,La información suele ser clara y actualizada,,Precio,,4,5,Horarios actualizados,,Demasiadas opciones sin guía,,4,Rutas sugeridas,,Exceso de publicidad,Que muestre precios ,
175,Hidalgo,Pachuca de Soto,40–49 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,,Redes sociales,,La información suele ser clara y actualizada,,Fotos reales,,5,5,Mapas y rutas,,Falta de información en el momento exacto,,4,Comercios y servicios cercanos,,Mala experiencia de uso,Que sea información verdadera ,
176,Michoacán,,40–49 años,Mujer,Varias veces al año,1 vez,Aventura,,Páginas oficiales de turismo,,Me ayudan a ahorrar tiempo,,Que se trate de una plataforma oficial,,5,,Información offline,,Recomendaciones poco confiables,,5,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",,
177,Ciudad de México,,40–49 años,Hombre,Esporádicamente,2 veces,Cultura / Historia,,Blogs o influencers,,La información suele ser clara y actualizada,,,,5,5,Recomendaciones cercanas,,Poca visibilidad de comercios locales,,5,Comercios y servicios cercanos,,Información falsa o incompleta,Que sea confiable ,
178,Hidalgo,Tepeji del Río de Ocampo,40–49 años,Mujer,Varias veces al año,3 veces,Viaje Familiar,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Fotos reales,,4,5,Seguridad,,Falta de información en el momento exacto,,4,Recomendaciones locales confiables,,Información falsa o incompleta,Seguridad ,
179,Hidalgo,Tlaxcoapan,40–49 años,Mujer,Varias veces al año,3 veces,Gastronomía,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,4,4,Horarios actualizados,,Recomendaciones poco confiables,,4,Uso sin conexión,,Exceso de publicidad,.,
180,Hidalgo,Actopan,50–59 años,Hombre,Muy rara vez,2 veces,Gastronomía,,No busco inspiración; ya conozco los destinos,,Confío en sus recomendaciones,,Cercanía / ubicación,,3,2,Horarios actualizados,,Recomendaciones poco confiables,,2,Rutas sugeridas,,Información falsa o incompleta,Confiable ,
181,Estado de México,,18–29 años,Mujer,Muy rara vez,1 vez,Naturaleza,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,5,Recomendaciones locales confiables,,"Información falsa o incompleta, Falta de valor real, Mala experiencia de uso",Segura y confiable ,
182,Estado de México,,40–49 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Falta de información en el momento exacto,,5,Eventos y experiencias locales,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Que sea confiable y con mucha información,
183,Ciudad de México,,30–39 años,Mujer,Varias veces al año,1 vez,Naturaleza,,Páginas oficiales de turismo,,La información suele ser clara y actualizada,,Opiniones de otros usuarios,,4,3,Mapas y rutas,,Recomendaciones poco confiables,,4,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad",Una grata experiencia y una bonita experiencia ,
184,Hidalgo,Ixmiquilpan,18–29 años,Hombre,Esporádicamente,2 veces,Cultura / Historia,,Redes sociales,,La información suele ser clara y actualizada,,Fotos reales,,5,5,Eventos o actividades del día,,Demasiadas opciones sin guía,,,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",,
185,Estado de México,,18–29 años,Hombre,,2 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,Me generan seguridad para tomar decisiones,,Precio,,5,3,Eventos o actividades del día,,Poca visibilidad de comercios locales,,2,Eventos y experiencias locales,,Exceso de publicidad,Comoda,
186,Querétaro,,30–39 años,Mujer,Varias veces al año,2 veces,Aventura,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Recomendación local,,5,5,Mapas y rutas,,Información desactualizada,,5,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",,
187,Morelos,,30–39 años,Hombre,Una vez al año,1 vez,Viaje Familiar,,Páginas oficiales de turismo,,Me generan seguridad para tomar decisiones,,Que se trate de una plataforma oficial,,5,5,Seguridad,,Recomendaciones poco confiables,,5,Información verificada,,Exceso de publicidad,,
188,Estado de México,,30–39 años,Mujer,Varias veces al año,2 veces,Aventura,,Redes sociales,,Me ayudan a ahorrar tiempo,,Que se trate de una plataforma oficial,,5,5,Seguridad,,Información desactualizada,,5,Información verificada,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",,
189,Hidalgo,Pachuca de Soto,30–39 años,Mujer,Varias veces al año,4 veces o más,Aventura,,Páginas oficiales de turismo,,Me ayudan a ahorrar tiempo,,Que se trate de una plataforma oficial,,5,5,Seguridad,,Información desactualizada,,5,Información verificada,,"Información falsa o incompleta, Exceso de publicidad",,
190,Hidalgo,Pachuca de Soto,30–39 años,Hombre,Varias veces al año,4 veces o más,Aventura,,Blogs o influencers,,Me ayudan a ahorrar tiempo,,Que se trate de una plataforma oficial,,5,5,Información offline,,Información desactualizada,,5,Información verificada,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",,
191,Ciudad de México,,18–29 años,Hombre,Varias veces al año,2 veces,Aventura,,Google,,La información suele ser clara y actualizada,,Que se trate de una plataforma oficial,,5,5,Seguridad,,Falta de información en el momento exacto,,5,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",,
192,Estado de México,,18–29 años,Mujer,Varias veces al año,4 veces o más,Aventura,,Blogs o influencers,,La información suele ser clara y actualizada,,Que se trate de una plataforma oficial,,5,5,Información offline,,Recomendaciones poco confiables,,5,Información verificada,,Información falsa o incompleta,,
193,Ciudad de México,,40–49 años,Mujer,Varias veces al año,4 veces o más,Viaje Familiar,,Redes sociales,,Confío en sus recomendaciones,,Recomendación local,,5,5,Información offline,,Información desactualizada,,5,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",,
194,Estado de México,,40–49 años,Mujer,Varias veces al año,4 veces o más,Viaje Familiar,,Redes sociales,,Otro: Información verídica,,Fotos reales,,5,5,Recomendaciones cercanas,,Otro: Rara la vez se da algunos problemas,,5,Información verificada,,Información falsa o incompleta,Confiable ,
195,Ciudad de México,,40–49 años,Hombre,Varias veces al año,1 vez,Viaje Familiar,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Recomendaciones cercanas,,Falta de información en el momento exacto,,5,Información verificada,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",,
196,Ciudad de México,,40–49 años,Mujer,Varias veces al año,2 veces,Aventura,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Recomendación local,,5,5,Horarios actualizados,,Información desactualizada,,5,Información verificada,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",,
197,Estado de México,,50–59 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Confío en sus recomendaciones,,Precio,,5,5,Seguridad,,Información desactualizada,,5,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",,
198,Puebla,,50–59 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,,Redes sociales,,Confío en sus recomendaciones,,Precio,,5,5,Seguridad,,Falta de información en el momento exacto,,4,Información verificada,,Exceso de publicidad,Confiabilidad y Seguridad ,
199,Ciudad de México,,18–29 años,Hombre,Una vez al año,3 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,La información suele ser clara y actualizada,,Opiniones de otros usuarios,,2,5,Eventos o actividades del día,,Falta de información en el momento exacto,,2,Rutas sugeridas,,"Exceso de publicidad, Falta de valor real, No confiar en las recomendaciones",Que me de información actualizada y real,
200,Hidalgo,Pachuca de Soto,18–29 años,Mujer,Esporádicamente,2 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Fotos reales,,4,3,Recomendaciones cercanas,,Recomendaciones poco confiables,,3,Información verificada,,Información falsa o incompleta,Buenas recomendaciones ,
201,Estado de México,,18–29 años,Mujer,Varias veces al año,4 veces o más,Viaje Familiar,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Recomendaciones cercanas,,Recomendaciones poco confiables,,5,Recomendaciones locales confiables,,Mala experiencia de uso,"
Información completa sobre los sitios y opiniones",
202,Estado de México,,18–29 años,Mujer,Una vez al año,1 vez,Cultura / Historia,,Redes sociales,,Me generan seguridad para tomar decisiones,,Fotos reales,,5,5,Eventos o actividades del día,,Poca visibilidad de comercios locales,,5,Eventos y experiencias locales,,Información falsa o incompleta,"Que sea confiable, segura, apoye al comercio local",
203,Hidalgo,Tepeapulco,18–29 años,Hombre,Esporádicamente,3 veces,Viaje Familiar,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,4,Mapas y rutas,,Poca visibilidad de comercios locales,,4,Información verificada,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso","Información actualizada y confiable de todo uso como rutas, gastronomía, etc.
",
204,Estado de México,,40–49 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Horarios actualizados,,Información desactualizada,,4,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad","Que sea segura 
",
205,Estado de México,,30–39 años,Mujer,Varias veces al año,4 veces o más,Otro: Deporte y naturaleza,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Que se trate de una plataforma oficial,,5,5,Eventos o actividades del día,,Falta de información en el momento exacto,,5,Recomendaciones locales confiables,,Información falsa o incompleta,"Que incluya los atractivos de cada región o municipio con información puntual de horarios, costos de accesos, recomendaciones de servicios. ",
206,Hidalgo,Atitalaquia,18–29 años,Hombre,Varias veces al año,4 veces o más,Aventura,,Redes sociales,,Me ayudan a ahorrar tiempo,,Que se trate de una plataforma oficial,,5,5,Horarios actualizados,,Información desactualizada,,5,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",,
207,Hidalgo,Atotonilco el Grande,60 años o más,Mujer,Varias veces al año,4 veces o más,Viaje Familiar,,Recomendaciones de amigos / familia,,La información suele ser clara y actualizada,,Fotos reales,,5,5,Seguridad,,Falta de información en el momento exacto,,5,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",,
208,Nuevo León,,40–49 años,Mujer,Varias veces al año,1 vez,Aventura,,Apps de viaje,,Me generan seguridad para tomar decisiones,,Que se trate de una plataforma oficial,,5,5,Información offline,,Falta de información en el momento exacto,,5,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",,
209,Estado de México,,30–39 años,Hombre,Esporádicamente,3 veces,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,,Mapas y rutas,,Información desactualizada,,5,Recomendaciones locales confiables,,Información falsa o incompleta,Información clara,
210,Veracruz,,40–49 años,Mujer,Varias veces al año,1 vez,Naturaleza,,Google,,Me generan seguridad para tomar decisiones,,Que se trate de una plataforma oficial,,5,5,Seguridad,,Información desactualizada,,5,Información verificada,,"Información falsa o incompleta, Exceso de publicidad, No confiar en las recomendaciones",Seguridad y confianza ,
211,Estado de México,,30–39 años,Hombre,Varias veces al año,2 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,2,3,Mapas y rutas,,Información desactualizada,,3,Rutas sugeridas,,Información falsa o incompleta,,
212,Ciudad de México,,30–39 años,Hombre,Una vez al año,1 vez,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Precio,,3,3,Mapas y rutas,,Información desactualizada,,4,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, Exceso de publicidad",,
213,Hidalgo,Tula de Allende,18–29 años,Mujer,Esporádicamente,2 veces,Viaje Familiar,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Precio,,4,3,Seguridad,,Poca visibilidad de comercios locales,,3,Rutas sugeridas,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confianza,
214,Hidalgo,Pachuca de Soto,18–29 años,Mujer,Esporádicamente,3 veces,Gastronomía,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Precio,,4,4,Mapas y rutas,,Recomendaciones poco confiables,,3,Rutas sugeridas,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confianza ,
215,Hidalgo,Progreso de Obregón,18–29 años,Hombre,Esporádicamente,3 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Precio,,4,4,Mapas y rutas,,Poca visibilidad de comercios locales,,4,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Seguridad ,
216,Estado de México,,40–49 años,Hombre,Esporádicamente,3 veces,Gastronomía,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Precio,,4,4,Mapas y rutas,,Poca visibilidad de comercios locales,,4,Información verificada,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real", Caridad ,
217,Hidalgo,Atitalaquia,18–29 años,Hombre,Una vez al año,2 veces,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Precio,,5,5,Mapas y rutas,,Recomendaciones poco confiables,,4,Rutas sugeridas,,Falta de valor real,Mayor  seguridad ,
218,Estado de México,,18–29 años,Mujer,Una vez al año,1 vez,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Precio,,5,5,Mapas y rutas,,Demasiadas opciones sin guía,,5,Información verificada,,Falta de valor real,,
219,Estado de México,,50–59 años,Hombre,Una vez al año,1 vez,Viaje Familiar,,Apps de viaje,,Confío en sus recomendaciones,,Fotos reales,,5,5,Recomendaciones cercanas,,Demasiadas opciones sin guía,,5,Eventos y experiencias locales,,Falta de valor real,Mayor seguridad ,
220,Hidalgo,Atitalaquia,30–39 años,Mujer,Esporádicamente,1 vez,Naturaleza,,Google,,La información suele ser clara y actualizada,,Cercanía / ubicación,,5,5,Mapas y rutas,,,,5,Comercios y servicios cercanos,,Información falsa o incompleta,Información actualizada ,
221,Hidalgo,Tula de Allende,40–49 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Precio,,3,4,Seguridad,,Demasiadas opciones sin guía,,4,Información verificada,,Información falsa o incompleta,Confianza ,
222,Hidalgo,Tlahuelilpan,30–39 años,Hombre,Muy rara vez,1 vez,Viaje Familiar,,Google,,,,Precio,,4,4,Seguridad,,Demasiadas opciones sin guía,,3,Rutas sugeridas,,Exceso de publicidad,Amplia,
223,Hidalgo,Tula de Allende,30–39 años,Hombre,Varias veces al año,4 veces o más,Viaje Familiar,,Google,,Confío en sus recomendaciones,,Precio,,2,3,Recomendaciones cercanas,,Información desactualizada,,2,Rutas sugeridas,,Mala experiencia de uso,Seguridad   en la información ,
224,Hidalgo,Tula de Allende,40–49 años,Hombre,Una vez al año,4 veces o más,Viaje Familiar,,Redes sociales,,Confío en sus recomendaciones,,Precio,,1,3,Horarios actualizados,,Recomendaciones poco confiables,,3,Información verificada,,"Exceso de publicidad, Mala experiencia de uso",Confiable ,
225,Hidalgo,Atotonilco de Tula,18–29 años,Mujer,Muy rara vez,4 veces o más,Viaje Familiar,,Redes sociales,,La información suele ser clara y actualizada,,Opiniones de otros usuarios,,3,3,Recomendaciones cercanas,,Demasiadas opciones sin guía,,3,Comercios y servicios cercanos,,Mala experiencia de uso,Confiable  la información  verdadera,
226,Hidalgo,Tepeji del Río de Ocampo,50–59 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,,Redes sociales,,La información suele ser clara y actualizada,,Cercanía / ubicación,,3,3,Seguridad,,Recomendaciones poco confiables,,3,Información verificada,,Mala experiencia de uso,Segura  la información y confianza ,
227,Estado de México,,40–49 años,Mujer,Varias veces al año,3 veces,Naturaleza,,Recomendaciones de amigos / familia,,La información suele ser clara y actualizada,,Precio,,3,3,Mapas y rutas,,Poca visibilidad de comercios locales,,3,Información verificada,,Exceso de publicidad,Actualizado ,
228,Hidalgo,Atotonilco de Tula,30–39 años,Hombre,Varias veces al año,3 veces,Naturaleza,,Google,,La información suele ser clara y actualizada,,Cercanía / ubicación,,3,2,Seguridad,,Falta de información en el momento exacto,,2,Información verificada,,"Exceso de publicidad, Mala experiencia de uso",Facilida de operación ,
229,Estado de México,,30–39 años,Mujer,Esporádicamente,1 vez,Viaje Familiar,,Blogs o influencers,,Confío en sus recomendaciones,,Precio,,3,4,Seguridad,,Información desactualizada,,2,Información verificada,,Exceso de publicidad,Certera,
230,Hidalgo,Tula de Allende,30–39 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,La información suele ser clara y actualizada,,Recomendación local,,1,1,Recomendaciones cercanas,,Información desactualizada,,1,Comercios y servicios cercanos,,Exceso de publicidad,Recomendación  sean precisas ,
231,Hidalgo,Tlaxcoapan,30–39 años,Mujer,Una vez al año,2 veces,Viaje Familiar,,Redes sociales,,Confío en sus recomendaciones,,Precio,,2,3,Horarios actualizados,,Información desactualizada,,3,Rutas sugeridas,,Mala experiencia de uso,Que sea de facil  de entender ,
232,Hidalgo,Tula de Allende,30–39 años,Mujer,Esporádicamente,2 veces,Viaje Familiar,,Recomendaciones de amigos / familia,,La información suele ser clara y actualizada,,Cercanía / ubicación,,2,2,Recomendaciones cercanas,,Demasiadas opciones sin guía,,2,Información verificada,,Falta de valor real,Verifica la información  para llegar como información ,
233,Hidalgo,Tula de Allende,40–49 años,Mujer,Varias veces al año,3 veces,Naturaleza,,Redes sociales,,La información suele ser clara y actualizada,,Precio,,3,3,Seguridad,,Recomendaciones poco confiables,,3,Información verificada,,Mala experiencia de uso,Información  verificada,
234,Hidalgo,Tula de Allende,,Hombre,Muy rara vez,4 veces o más,Viaje Familiar,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,4,Mapas y rutas,,Recomendaciones poco confiables,,4,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confianza,
235,Ciudad de México,,40–49 años,Hombre,Muy rara vez,4 veces o más,Viaje Familiar,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,4,Mapas y rutas,,Demasiadas opciones sin guía,,4,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Claridad,
236,Hidalgo,Ajacuba,18–29 años,Mujer,Una vez al año,4 veces o más,Gastronomía,,Redes sociales,,Me ayudan a ahorrar tiempo,,Precio,,4,5,Mapas y rutas,,Recomendaciones poco confiables,,4,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Seguridad ,
237,Ciudad de México,,18–29 años,Hombre,Esporádicamente,3 veces,Aventura,,Redes sociales,,Me ayudan a ahorrar tiempo,,Precio,,4,4,Seguridad,,Recomendaciones poco confiables,,4,Rutas sugeridas,,"Exceso de publicidad, Mala experiencia de uso, Información falsa o incompleta",Confianza ,
238,Estado de México,,30–39 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Confío en sus recomendaciones,,Precio,,4,4,Mapas y rutas,,Información desactualizada,,4,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Seguridad,
239,Hidalgo,Tula de Allende,30–39 años,Hombre,Esporádicamente,4 veces o más,Gastronomía,,Redes sociales,,Me ayudan a ahorrar tiempo,,Precio,,5,4,Seguridad,,Información desactualizada,,4,Rutas sugeridas,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Claridad,
240,Estado de México,,18–29 años,Hombre,Esporádicamente,4 veces o más,Viaje Familiar,,Redes sociales,,Me ayudan a ahorrar tiempo,,Precio,,4,4,Seguridad,,Recomendaciones poco confiables,,4,Rutas sugeridas,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confianza,
241,Estado de México,,40–49 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Información desactualizada,,3,Rutas sugeridas,,Información falsa o incompleta,Viaja seguro ,
242,Ciudad de México,,18–29 años,Mujer,Muy rara vez,2 veces,Descanso / relajación,,No busco inspiración; ya conozco los destinos,,Me ayudan a ahorrar tiempo,,Cercanía / ubicación,,3,3,Recomendaciones cercanas,,Falta de información en el momento exacto,,3,Rutas sugeridas,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real","Confiable
",
243,Colima,,50–59 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,,Google,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Seguridad,,Poca visibilidad de comercios locales,,5,Información verificada,,"Exceso de publicidad, Información falsa o incompleta, No confiar en las recomendaciones",Que dieran a conocer o9s lugares a visitar,
244,Estado de México,,40–49 años,Hombre,Varias veces al año,4 veces o más,Aventura,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Fotos reales,,5,5,Mapas y rutas,,Recomendaciones poco confiables,,4,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Fotos reales y comentarios de la experiencia ,
245,Ciudad de México,,30–39 años,Hombre,Esporádicamente,2 veces,Naturaleza,,Redes sociales,,La información suele ser clara y actualizada,,Recomendación local,,5,4,Información offline,,Demasiadas opciones sin guía,,4,Eventos y experiencias locales,,Falta de valor real,Confianza,
246,Estado de México,,30–39 años,Mujer,Muy rara vez,1 vez,Naturaleza,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Recomendación local,,5,5,Mapas y rutas,,Información desactualizada,,5,Recomendaciones locales confiables,,Información falsa o incompleta,Información precisa,
247,Ciudad de México,,18–29 años,Hombre,Varias veces al año,3 veces,Naturaleza,,Páginas oficiales de turismo,,La información suele ser clara y actualizada,,Opiniones de otros usuarios,,5,5,Seguridad,,Recomendaciones poco confiables,,5,Eventos y experiencias locales,,Información falsa o incompleta,Que siempre esté actualizada y que digan la verdad,
248,Estado de México,,18–29 años,Mujer,Esporádicamente,1 vez,Naturaleza,,Recomendaciones de amigos / familia,,La información suele ser clara y actualizada,,Fotos reales,,5,4,Recomendaciones cercanas,,Falta de información en el momento exacto,,5,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real",Confianza e información correcta,
249,Estado de México,,50–59 años,Mujer,Esporádicamente,2 veces,Naturaleza,,No busco inspiración; ya conozco los destinos,,Me ayudan a ahorrar tiempo,,Precio,,5,5,Seguridad,,Demasiadas opciones sin guía,,4,Rutas sugeridas,,"Información falsa o incompleta, Falta de valor real, Mala experiencia de uso",Información completa ,
250,Estado de México,,40–49 años,Hombre,Esporádicamente,4 veces o más,Naturaleza,,Recomendaciones de amigos / familia,,La información suele ser clara y actualizada,,Cercanía / ubicación,,5,5,Recomendaciones cercanas,,Recomendaciones poco confiables,,5,Recomendaciones locales confiables,,Información falsa o incompleta,Que te muestre los lugares recomendables y muestra de precios,
251,Hidalgo,Pachuca de Soto,30–39 años,,Varias veces al año,2 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Eventos o actividades del día,,Demasiadas opciones sin guía,,5,Eventos y experiencias locales,,"Mala experiencia de uso, Información falsa o incompleta",Que sea información confiable,
252,Hidalgo,Pachuca de Soto,40–49 años,Hombre,Varias veces al año,2 veces,Naturaleza,,Google,,,,Precio,,5,4,Seguridad,,Demasiadas opciones sin guía,,3,Información verificada,,Exceso de publicidad,Que sea confiable ,
253,Estado de México,,30–39 años,Hombre,Varias veces al año,3 veces,Naturaleza,,Redes sociales,,,,Fotos reales,,5,5,Eventos o actividades del día,,Demasiadas opciones sin guía,,5,Eventos y experiencias locales,,Información falsa o incompleta,Que tenga experiencias,
254,Hidalgo,Acatlán,60 años o más,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Cercanía / ubicación,,5,5,Seguridad,,Recomendaciones poco confiables,,4,Recomendaciones locales confiables,,"Exceso de publicidad, Falta de valor real, Información falsa o incompleta",Las recomendaciones,
255,Estado de México,,60 años o más,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Google,,Me ayudan a ahorrar tiempo,,Precio,,5,5,Recomendaciones cercanas,,Información desactualizada,,5,Recomendaciones locales confiables,,"Exceso de publicidad, Información falsa o incompleta, Falta de valor real",Información real sin mercadotecnia con información actualizada..,
256,Ciudad de México,,30–39 años,Hombre,Esporádicamente,3 veces,Naturaleza,,Apps de viaje,,Confío en sus recomendaciones,,Precio,,5,5,Horarios actualizados,,Falta de información en el momento exacto,,4,Información verificada,,"Exceso de publicidad, Falta de valor real",Que sirva,
257,Ciudad de México,,30–39 años,Hombre,Esporádicamente,3 veces,4 veces o más,,Apps de viaje,,La información suele ser clara y actualizada,,Recomendación local,,4,5,Horarios actualizados,,Poca visibilidad de comercios locales,,5,Recomendaciones locales confiables,,"Falta de valor real, Exceso de publicidad, Mala experiencia de uso",Que tenga información actualizada ,
